,SantaClara,Start,0,0,0,1,1,4,5,19,19,28,41,51,79,98,109,131,183,372,754,,,,,,,,
34677,Germany,48,16,16,16,16,16,16,16,16,17,27,46,48,79,130,159,196,262,482,670,799,1040,1176,1457,1908,2078,3675,4585
35154,France,48,12,12,12,12,12,12,12,12,14,18,38,57,100,130,191,204,285,377,653,949,1126,1209,1784,2281,2281,3661,4469
35226,Iran,42,0,0,0,0,0,0,0,0,2,5,18,28,43,61,95,139,245,388,593,978,1501,2336,2922,3513,4747,5823,6566
45413,South Korea,36,19,23,24,24,25,27,28,28,28,28,28,29,30,31,31,104,204,433,602,833,977,1261,1766,2337,3150,3736,4335
57105,Italy,40,3,3,3,3,3,3,3,3,3,3,3,3,20,62,155,229,322,453,655,888,1128,1694,2036,2502,3089,3858,4636
83121,United States,50,13,13,15,15,15,51,51,57,58,60,68,74,98,118,149,217,262,402,518,583,959,1281,1663,2179,2723,3493,4626
83520,Spain,49,2,2,2,2,2,2,2,6,13,15,32,45,84,120,165,222,259,400,500,673,1073,1695,2277,2277,5232,6391,7798
86857,World,4,44,59,59,59,59,59,59,59,59,60,60,61,61,66,83,219,239,282,555,653,941,1434,2118,2927,5578,6166,8234
90196,China,4,44,59,59,59,59,59,59,59,59,59,59,59,59,63,80,216,235,278,547,639,916,1399,2062,2863,5494,6070,8124
123228,Switzerland,52,0,0,0,0,1,1,8,8,18,27,42,56,90,114,214,268,337,374,491,652,652,1139,1359,2200,2200,2700,3028
